"name","mfr","calories","protein","sugars","rating"
"100% Bran","N","70","4","6","68.402973"
"100% Natural Bran","Q","120","3","8","33.983679"
"All-Bran","K","70","4","5","59.425505"
"All-Bran with Extra Fiber","K","50","4","0","93.704912"
"Almond Delight","R","110","2","8","-55.12"
"Apple Cinnamon Cheerios","G","110","2","10","29.509541"
"Apple Jacks","K","110","2","14","33.174094"
"Basic 4","G","130","3","8","37.038562"
"Bran Chex","R","90","2","6","49.120253"
"Bran Flakes","P","90","3","5","53.313813"
"Cap'n'Crunch","Q","120","1","12","18.042851"
"Cheerios","G","110","6","1","50.764999"
"Cinnamon Toast Crunch","G","120","1","9","19.823573"
"Clusters","G","110","3","7","40.400208"
"Cocoa Puffs","G","110","1","13","-5"
"Corn Chex","R","110","2","3","41.445019"
"Corn Flakes","K","100","2","2","45.863324"
"Corn Pops","K","110","1","12","35.782791"
"Count Chocula","G","110","1","13","22.396513"
"Cracklin' Oat Bran","K","110","3","7","40.448772"
"Cream of Wheat (Quick)","N","100","3","0","64.533816"
"Crispix","K","110","2","3","46.895644"
"Crispy Wheat & Raisins","G","100","2","10","36.176196"
"Double Chex","R","100","2","5","44.330856"
"Froot Loops","K","110","2","13","32.207582"
"Frosted Flakes","K","110","1","11","31.435973"
"Frosted Mini-Wheats","K","100","3","7","58.345141"
"Fruit & Fibre Dates; Walnuts; and Oats","P","120","3","10","40.917047"
"Fruitful Bran","K","120","3","12","41.015492"
"Fruity Pebbles","P","110","1","12","28.025765"
"Golden Crisp","P","100","2","15","35.252444"
"Golden Grahams","G","110","1","9","23.804043"
"Grape Nuts Flakes","P","100","3","5","52.076897"
"Grape-Nuts","P","110","3","3","53.371007"
"Great Grains Pecan","P","120","3","4","1999"
"Honey Graham Ohs","Q","120","1","11","21.871292"
"Honey Nut Cheerios","G","110","3","10","31.072217"
"Honey-comb","P","110","1","11","28.742414"
"Just Right Crunchy  Nuggets","K","110","2","6","36.523683"
"Just Right Fruit & Nut","K","140","3","9","36.471512"
"Kix","G","110","2","3","39.241114"
"Life","Q","100","4","6","45.328074"
"Lucky Charms","G","110","2","12","26.734515"
"Maypo","A","100","4","3","54.850917"
"Muesli Raisins; Dates; & Almonds","R","150","4","11","37.136863"
"Muesli Raisins; Peaches; & Pecans","R","150","4","11","34.139765"
"Mueslix Crispy Blend","K","160","3","13","30.313351"
"Multi-Grain Cheerios","G","100","2","6","40.105965"
"Nut&Honey Crunch","K","120","2","9","29.924285"
"Nutri-Grain Almond-Raisin","K","140","3","7","40.692320"
"Nutri-grain Wheat","K","90","3","2","59.642837"
"Oatmeal Raisin Crisp","G","130","3","10","30.450843"
"Post Nat. Raisin Bran","P","120","3","14","37.840594"
"Product 19","K","100","3","3","41.503540"
"Puffed Rice","Q","50","1","0","60.756112"
"Puffed Wheat","Q","50","2","0","63.005645"
"Quaker Oat Squares","Q","100","4","6","49.511874"
"Quaker Oatmeal","Q","100","5","-1","50.828392"
"Raisin Bran","K","120","3","12","39.259197"
"Raisin Nut Bran","G","100","3","8","39.703400"
"Raisin Squares","K","90","2","6","55.333142"
"Rice Chex","R","110","1","2","41.998933"
"Rice Krispies","K","110","2","3","40.560159"
"Shredded Wheat","N","80","2","0","68.235885"
"Shredded Wheat 'n'Bran","N","90","3","0","-222"
"Shredded Wheat spoon size","N","90","3","0","72.801787"
"Smacks","K","110","2","15","31.230054"
"Special K","K","110","6","3","53.131324"
"Strawberry Fruit Wheats","N","90","2","5","59.363993"
"Total Corn Flakes","G","110","2","3","38.839746"
"Total Raisin Bran","G","140","3","14","28.592785"
"Total Whole Grain","G","100","3","3","46.658844"
"Triples","G","110","2","3","39.106174"
"Trix","G","110","1","12","27.753301"
"Wheat Chex","R","100","3","3","49.787445"
"Wheaties","G","100","3","3","51.592193"
"Wheaties Honey Gold","G","110","2","8","36.187559"
